t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.3850,0.007010,0.297171,0.048233,-1.933722,-0.201136,2.347484,-1.408178,0.013375,0.249853,0.070068,-2.026537,-0.212088,2.375243,-1.447419,0.013375,0.249853,0.070068,-2.026537,-0.212088,2.375243,-1.447419,0.0400,0.117479,0.6402,0.0164,0.2461
0.3900,0.007406,0.296173,0.049845,-1.943616,-0.205965,2.355816,-1.423141,0.013670,0.248746,0.071614,-2.036592,-0.216767,2.383522,-1.462028,0.013670,0.248746,0.071614,-2.036592,-0.216767,2.383522,-1.462028,0.0400,0.117488,0.6383,0.0175,0.2431
0.3950,0.007808,0.295194,0.051469,-1.953558,-0.210777,2.364105,-1.438038,0.013963,0.247647,0.073150,-2.046581,-0.221416,2.391747,-1.476541,0.013963,0.247647,0.073150,-2.046581,-0.221416,2.391747,-1.476541,0.0400,0.117396,0.6364,0.0187,0.2401
0.4000,0.008218,0.294234,0.053103,-1.963538,-0.215566,2.372343,-1.452859,0.014254,0.246556,0.074674,-2.056496,-0.226030,2.399911,-1.490945,0.014254,0.246556,0.074674,-2.056496,-0.226030,2.399911,-1.490945,0.0400,0.117201,0.6345,0.0199,0.2371
0.4050,0.008635,0.293293,0.054746,-1.973549,-0.220330,2.380525,-1.467591,0.014543,0.245474,0.076186,-2.066329,-0.230606,2.408006,-1.505230,0.014543,0.245474,0.076186,-2.066329,-0.230606,2.408006,-1.505230,0.0400,0.116905,0.6324,0.0211,0.2340
0.4100,0.009058,0.292369,0.056397,-1.983581,-0.225065,2.388646,-1.482222,0.014829,0.244402,0.077684,-2.076071,-0.235140,2.416028,-1.519384,0.014829,0.244402,0.077684,-2.076071,-0.235140,2.416028,-1.519384,0.0400,0.116508,0.6304,0.0223,0.2309
0.4150,0.009487,0.291463,0.058053,-1.993626,-0.229766,2.396698,-1.496741,0.015112,0.243341,0.079166,-2.085716,-0.239628,2.423969,-1.533396,0.015112,0.243341,0.079166,-2.085716,-0.239628,2.423969,-1.533396,0.0400,0.116010,0.6282,0.0235,0.2279
0.4200,0.009920,0.290573,0.059713,-2.003674,-0.234430,2.404676,-1.511135,0.015392,0.242291,0.080633,-2.095255,-0.244067,2.431823,-1.547255,0.015392,0.242291,0.080633,-2.095255,-0.244067,2.431823,-1.547255,0.0400,0.115414,0.6260,0.0248,0.2248
0.4250,0.010359,0.289699,0.061376,-2.013717,-0.239054,2.412575,-1.525393,0.015668,0.241254,0.082082,-2.104682,-0.248454,2.439584,-1.560950,0.015668,0.241254,0.082082,-2.104682,-0.248454,2.439584,-1.560950,0.0400,0.114719,0.6238,0.0261,0.2217
0.4300,0.010801,0.288839,0.063041,-2.023746,-0.243632,2.420388,-1.539504,0.015941,0.240230,0.083513,-2.113988,-0.252784,2.447247,-1.574470,0.015941,0.240230,0.083513,-2.113988,-0.252784,2.447247,-1.574470,0.0400,0.113929,0.6215,0.0273,0.2186
0.4350,0.011248,0.287993,0.064705,-2.033751,-0.248163,2.428110,-1.553456,0.016211,0.239220,0.084924,-2.123166,-0.257056,2.454804,-1.587805,0.016211,0.239220,0.084924,-2.123166,-0.257056,2.454804,-1.587805,0.0400,0.113044,0.6191,0.0286,0.2155
0.4400,0.011697,0.287159,0.066367,-2.043724,-0.252641,2.435736,-1.567239,0.016476,0.238225,0.086315,-2.132211,-0.261265,2.462251,-1.600945,0.016476,0.238225,0.086315,-2.132211,-0.261265,2.462251,-1.600945,0.0400,0.112066,0.6168,0.0299,0.2124
0.4450,0.012148,0.286337,0.068026,-2.053655,-0.257063,2.443260,-1.580841,0.016737,0.237245,0.087683,-2.141114,-0.265408,2.469581,-1.613880,0.016737,0.237245,0.087683,-2.141114,-0.265408,2.469581,-1.613880,0.0400,0.110998,0.6143,0.0312,0.2093
0.4500,0.012601,0.285526,0.069680,-2.063537,-0.261427,2.450676,-1.594253,0.016994,0.236282,0.089029,-2.149869,-0.269482,2.476790,-1.626600,0.016994,0.236282,0.089029,-2.149869,-0.269482,2.476790,-1.626600,0.0400,0.109841,0.6119,0.0326,0.2062
